iter	MultiClass
0	1.096837102
1	1.094993598
2	1.093141886
3	1.091393605
4	1.08971881
5	1.088920947
6	1.086163766
7	1.084475173
8	1.083628891
9	1.082812573
10	1.08020017
11	1.079870892
12	1.078132708
13	1.076167476
14	1.075382989
15	1.073781037
16	1.071707047
17	1.07040356
18	1.068149975
19	1.066850307
20	1.064951921
21	1.063835515
22	1.062403584
23	1.062292606
24	1.06218067
25	1.060615102
26	1.058166387
27	1.057605622
28	1.054921628
29	1.054036496
30	1.052134007
31	1.050977718
32	1.049822831
33	1.048740965
34	1.046892905
35	1.044859835
36	1.043068462
37	1.040870962
38	1.039544588
39	1.038629724
40	1.036718352
41	1.035401746
42	1.034873021
43	1.033760752
44	1.032708804
45	1.032681229
46	1.03049692
47	1.030446788
48	1.028217289
49	1.02651655
50	1.023963867
51	1.022251017
52	1.021345344
53	1.019428087
54	1.018405307
55	1.018260616
56	1.01800665
57	1.016056775
58	1.013926938
59	1.013455072
60	1.013318265
61	1.012659355
62	1.01159475
63	1.009715779
64	1.009057865
65	1.007102239
66	1.006153417
67	1.00541306
68	1.004326715
69	1.003935581
70	1.00389904
71	1.002453011
72	1.000403743
73	0.9987545699
74	0.99838006
75	0.997330699
76	0.9954310319
77	0.9940284845
78	0.9940280481
79	0.9934814749
80	0.992332009
81	0.9922384219
82	0.9905704866
83	0.9890288214
84	0.9880178662
85	0.987696781
86	0.9858906271
87	0.9842042705
88	0.9836300518
89	0.9821967256
90	0.9808821492
91	0.9790917608
92	0.9770181617
93	0.9760806413
94	0.9748560265
95	0.9730965905
96	0.9718772063
97	0.9716003154
98	0.9704225706
99	0.9704183041
100	0.9691451146
101	0.9674377444
102	0.9672665204
103	0.9658283736
104	0.9647808319
105	0.9629857894
106	0.9626492791
107	0.9616838707
108	0.9615096108
109	0.9604454464
110	0.9594994233
111	0.9584616653
112	0.9577637203
113	0.9574571838
114	0.957052146
115	0.9565458792
116	0.9552822789
117	0.9552818765
118	0.9543849158
119	0.9525715167
120	0.9518445991
121	0.9503329757
122	0.9501527366
123	0.9484877706
124	0.9470171296
125	0.9456063133
126	0.9439467125
127	0.9425324627
128	0.9410049118
129	0.9396929988
130	0.938345864
131	0.9375523197
132	0.9366686504
133	0.9350094527
134	0.9334910924
135	0.9326604553
136	0.9310383597
137	0.9295009632
138	0.9281922169
139	0.9269775304
140	0.9260146463
141	0.9244704379
142	0.9229125775
143	0.9212546165
144	0.920061827
145	0.9188682577
146	0.9172154148
147	0.9172145401
148	0.9158116211
149	0.9144259236
150	0.9127586639
151	0.9127361137
152	0.91058592
153	0.909347742
154	0.9082608703
155	0.9069082137
156	0.9051327125
157	0.9041925743
158	0.9039217028
159	0.9023827458
160	0.9016813812
161	0.9009091999
162	0.8995622017
