iter	Passed	Remaining
0	32	39210
1	60	36526
2	91	36592
3	121	36331
4	149	35745
5	181	36138
6	210	35791
7	239	35637
8	268	35592
9	297	35425
10	327	35355
11	357	35375
12	386	35285
13	415	35166
14	444	35139
15	477	35362
16	508	35366
17	538	35331
18	572	35614
19	613	36220
20	642	36055
21	674	36092
22	706	36169
23	737	36135
24	768	36112
25	796	35974
26	828	36009
27	862	36095
28	897	36224
29	929	36267
30	958	36142
31	985	35966
32	1012	35797
33	1040	35669
34	1067	35541
35	1097	35491
36	1126	35398
37	1153	35285
38	1182	35191
39	1209	35088
40	1239	35051
41	1270	35032
42	1299	34959
43	1328	34892
44	1355	34788
45	1381	34669
46	1410	34590
47	1440	34566
48	1466	34446
49	1496	34420
50	1530	34486
51	1564	34547
52	1586	34340
53	1611	34189
54	1639	34128
55	1665	34032
56	1695	34006
57	1725	33973
58	1754	33924
59	1781	33853
60	1816	33910
61	1843	33841
62	1870	33764
63	1899	33711
64	1936	33812
65	1975	33946
66	2008	33956
67	2036	33900
68	2068	33905
69	2096	33835
70	2119	33710
71	2151	33702
72	2182	33686
73	2211	33650
74	2243	33649
75	2275	33649
76	2304	33611
77	2333	33567
78	2363	33544
79	2395	33542
80	2427	33539
81	2463	33582
82	2491	33523
83	2510	33349
84	2526	33135
85	2541	32925
86	2558	32725
87	2574	32537
88	2591	32347
89	2607	32154
90	2623	31967
91	2638	31777
92	2654	31595
93	2670	31418
94	2686	31253
95	2703	31084
96	2718	30917
97	2735	30755
98	2750	30591
99	2766	30434
100	2782	30278
101	2798	30129
102	2814	29977
103	2830	29829
104	2846	29680
105	2861	29535
106	2877	29392
107	2893	29255
108	2909	29123
109	2925	28991
110	2941	28856
111	2957	28726
112	2972	28595
113	2988	28468
114	3004	28345
115	3033	28343
116	3057	28305
117	3074	28187
118	3090	28069
119	3105	27949
120	3121	27836
121	3137	27723
122	3153	27612
123	3171	27517
124	3187	27409
125	3202	27301
126	3218	27195
127	3234	27087
128	3250	26989
129	3266	26887
130	3282	26785
131	3298	26690
132	3314	26590
133	3330	26497
134	3346	26403
135	3362	26308
136	3378	26215
137	3394	26125
138	3410	26034
139	3427	25949
140	3443	25861
141	3462	25795
142	3478	25708
143	3494	25622
144	3509	25535
145	3525	25449
146	3540	25365
147	3557	25290
148	3574	25216
149	3590	25134
150	3606	25052
151	3622	24973
152	3637	24893
153	3653	24818
154	3670	24746
155	3686	24672
156	3702	24595
157	3718	24522
158	3734	24450
159	3750	24377
160	3766	24304
161	3781	24231
162	3797	24159
163	3813	24091
164	3829	24022
165	3845	23954
166	3861	23885
